id,race_id,description
1,1002-5,AMERICAN INDIAN OR ALASKAN NATIVE
2,1840-8,INUIT
3,2028-9,ASIAN
4,2029-7,ASIAN INDIAN
5,2030-5,BANGLADESHI
6,2031-3,BHUTANESE
7,2032-1,BURMESE
8,2033-9,CAMBODIAN
9,2034-7,CHINESE
10,2035-4,TAIWANESE
11,2036-2,FILIPINO
12,2037-0,HMONG
13,2038-8,INDONESIAN
14,2039-6,JAPANESE
15,2040-4,KOREAN
16,2041-2,LAOTIAN
17,2042-0,MALAYSIAN
18,2043-8,OKINAWAN
19,2044-6,PAKISTANI
20,2045-3,SRI LANKAN
21,2046-1,THAI
22,2047-9,VIETNAMESE
23,2048-7,IWO JIMAN
24,2049-5,MALDIVIAN
25,2050-3,NEPALESE
26,2051-1,SINGAPOREAN
27,2052-9,MADAGASCAR
28,2054-5,BLACK OR AFRICAN AMERICAN
29,2056-0,BLACK
30,2058-6,AFRICAN AMERICAN
31,2060-2,AFRICAN
32,2061-0,BOTSWANAN
33,2062-8,ETHIOPIAN
34,2063-6,LIBERIAN
35,2064-4,NAMIBIAN
36,2065-1,NIGERIAN
37,2066-9,ZAIREAN
38,2067-7,BAHAMIAN
39,2068-5,BARBADIAN
40,2069-3,DOMINICAN
41,2070-1,DOMINICA ISLANDER
42,2071-9,HAITIAN
43,2072-7,JAMAICAN
44,2073-5,TOBAGOAN
45,2074-3,TRINIDADIAN
46,2075-0,WEST INDIAN
47,2076-8,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER
48,2078-4,POLYNESIAN
49,2079-2,NATIVE HAWAIIAN
50,2080-0,SAMOAN
51,2081-8,TAHITIAN
52,2082-6,TONGAN
53,2083-4,TOKELAUAN
54,2085-9,MICRONESIAN
55,2086-7,GUAMANIAN OR CHAMORRO
56,2087-5,GUAMANIAN
57,2088-3,CHAMORRO
58,2089-1,MARIANA ISLANDER
59,2090-9,MARSHALLESE
60,2091-7,PALAUAN
61,2092-5,CAROLINIAN
62,2093-3,KOSRAEAN
63,2094-1,POHNPEIAN
64,2095-8,SAIPANESE
65,2096-6,KIRIBATI
66,2097-4,CHUUKESE
67,2098-2,YAPESE
68,2100-6,MELANESIAN
69,2101-4,FIJIAN
70,2102-2,PAPUA NEW GUINEAN
71,2103-0,SOLOMON ISLANDER
72,2104-8,NEW HEBRIDES
73,2106-3,WHITE
74,2108-9,EUROPEAN
75,2109-7,ARMENIAN
76,2110-5,ENGLISH
77,2111-3,FRENCH
78,2112-1,GERMAN
79,2113-9,IRISH
80,2114-7,ITALIAN
81,2115-4,POLISH
82,2116-2,SCOTTISH
83,2118-8,MIDDLE EASTERN OR NORTH AFRICAN
84,2119-6,ASSYRIAN
85,2120-4,EGYPTIAN
86,2121-2,IRANIAN
87,2122-0,IRAQI
88,2123-8,LEBANESE
89,2124-6,PALESTINIAN
90,2125-3,SYRIAN
91,2126-1,AFGHANISTANI
92,2127-9,ISRAEILI
93,2129-5,ARAB
94,2131-1,OTHER RACE
95,2500-7,OTHER PACIFIC ISLANDER